category,vue_path,vue_normalized,vue_name,vue_component,vue_source,vue_project,vue_type,match_type,next_path,next_normalized,next_file,analysis
缺失,/auth/role,/auth/role,authorityRole,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/auth/authority,/auth/authority,authorityAuthority,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/setting,/setting,,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/setting/carousel,/setting/carousel,settingCarousel,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/setting/agreement,/setting/agreement,settingAgreement,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/learn/order/invoice/title,/learn/order/invoice/title,invoiceTitle,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/learn/data/sign,/learn/data/sign,learnData,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/learn/data/lessonstudy,/learn/data/lessonstudy,lessonStudyReport,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/learn/data/memberstudy,/learn/data/memberstudy,memberStudyReport,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/learn/data/companystudy,/learn/data/companystudy,companyStudyReport,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
缺失,/exam/paper/category,/exam/paper/category,examPaperCategory,<inline>,D:\历史项目存档\edu client\admin\admin\src\router\index.js,admin/admin,vue-router,none,,,,真实缺失(Vue 业务页面在 Next.js 中未找到对应)
